county,latitude,longitude
Stockholm county,59.3954053,18.665269528206764
Uppsala county,60.14535905,17.62434912488589
Södermanland county,58.96492145,16.72940122379656
Östergötland county,58.36502495,16.044714169791558
Jönköping county,57.535426,14.641181601671247
Kronoberg county,56.80067805,14.411160995108743
Kalmar county,57.02784235,16.575102000807693
Gotland county,57.64800165,18.59529524760007
Blekinge county,56.12401225,15.40220875187768
Skåne county,55.8479416,13.633711699754647
Halland county,56.9608104,12.85470664576265
Västra Götaland county,58.215850200000006,12.651820794914073
Värmland county,59.89076245,13.294761705669245
Örebro county,59.37857495,14.988276702344756
Västmanland county,59.6965639,16.184654087311557
Dalarna county,61.060377849999995,14.215087316959057
Gävleborg county,61.2603424,16.694698498129124
Västernorrland county,63.058969250000004,18.101368580066033
Jämtland county,63.345222199999995,14.124985984451182
Västerbotten county,64.72847095,18.553323468349845
Norrbotten county,66.9808129,19.99927009304014
